Quality_Label,Clarity_Rating,Pace_Rating,Pauses_Rating,Pitch_Rating,Loudness_Rating,WPM,Avg_Pause,Pitch_Variability,Disfluencies,Filled_Pauses,Loudness_Variance,Articulation_Rate
Excellent,3,5,4,4,4,161.772515,0.187745519,29.49150748,1,2,0.006457993,3.245007411
Excellent,3,4,4,5,4,124.863141,0.208249718,53.10767511,0,1,0.002284197,2.308460902
Good,3,5,4,3,4,152.883458,0.401766147,30.09307355,1,1,0.007206495,2.622000308
Excellent,3,5,5,4,5,161.08012,0.327149531,39.83798322,0,1,0.006596317,2.649416125
Good,1,3,5,3,5,113.542599,0.355147628,28.0836921,1,4,0.00727732,2.518418606
Good,2,4,4,4,4,147.114429,0.334058922,61.02272484,2,3,0.008116237,2.41540418
Good,2,4,4,3,5,133.933123,0.339069592,65.16902233,1,1,0.00673524,2.602591386
Good,1,5,4,5,4,140.695637,0.167352787,43.3075886,0,1,0.006296179,1.56371387
Good,2,4,4,4,5,147.562824,0.404731771,48.7647599,1,3,0.004237863,2.688724322
Good,3,5,5,1,4,134.204343,0.416958999,19.02817171,1,1,0.004575558,2.494162266
Good,2,5,4,4,4,131.188671,0.277060926,42.00646704,1,1,0.008373469,2.372133786
Excellent,4,5,4,5,5,142.546439,0.295652305,46.99590766,1,1,0.008872671,3.166401769
